username: S73, Experiment time (minutes): 47
Operating system: Mac OS 10.8.5
Manufacturer: Google Pepper
Player type: PlugIn
Version: MAC 13,0,0,206

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
8786	0	1	77.000	  49.117	  74.000	  44.432	  79.000	  41.734	Fill2	R	4	50	1	6982
8786	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	1	49	1	8121
8786	0	3	90.000	  38.633	  88.000	  34.398	  91.000	  33.473	Fill1	R	4	50	1	3664
8786	1	1	47.671	  73.000	  60.000	  58.000	  64.444	  54.000	SimA2	R	3	49	2	5428
8786	1	2	52.000	  79.000	  77.000	  53.351	  43.000	  79.000	AttR1	R	5	51	1	8212
8786	1	3	52.000	  79.000	  77.000	  53.351	  77.000	  45.351	AttR2	R	5	49	2	4720
8786	1	4	92.000	  37.196	  89.000	  33.607	  93.000	  31.742	Fill1	R	4	50	1	4461
8786	1	5	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	1	51	3	8988
8786	1	6	39.545	  88.000	  37.545	  79.077	  40.545	  72.388	Fill5	R	4	49	3	3552
8786	1	7	50.000	  81.000	  82.000	  49.390	  42.000	  81.000	AttR1	R	3	50	1	5228
8786	1	8	97.000	  38.866	  81.000	  46.543	  58.000	  65.000	ComD1	R	4	49	3	3440
8786	1	9	49.000	  80.000	  81.000	  48.395	  81.000	  41.395	AttR2	R	1	50	2	7873
8786	1	10	47.838	  74.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	50	3	5007
8786	1	11	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	2	50	3	3371
8786	1	12	83.000	  46.120	  58.000	  66.000	  45.035	  85.000	ComD2	R	3	49	2	2357
8786	1	13	96.000	  39.271	  82.000	  45.976	  58.000	  65.000	ComD1	R	6	49	3	1571
8786	1	14	95.000	  38.400	  79.000	  46.177	  57.000	  64.000	ComD1	R	2	50	3	4423
8786	1	15	62.000	  59.000	  60.000	  52.850	  63.000	  50.381	Fill3	R	4	50	1	2289
8786	1	16	50.000	  81.000	  82.000	  49.390	  82.000	  41.390	AttR2	R	6	51	1	3305
8786	1	17	92.000	  39.120	  91.000	  34.132	  95.000	  32.916	Fill1	R	1	49	1	1886
8786	1	18	53.000	  80.000	  81.000	  52.346	  45.000	  80.000	AttR1	R	5	51	1	6813
8786	1	19	39.120	  92.000	  38.120	  80.169	  41.120	  74.539	Fill5	R	6	49	3	5815
8786	1	20	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	R	4	51	2	5051
8786	1	21	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	51	3	2667
8786	1	22	48.800	  75.000	  61.000	  60.000	  66.545	  55.000	SimA2	R	5	49	2	1971
8786	1	23	50.833	  72.000	  48.833	  64.853	  51.833	  62.045	Fill4	R	4	50	1	3539
8786	1	24	95.000	  38.505	  92.000	  35.033	  97.000	  32.948	Fill1	R	2	49	1	1332
8786	1	25	49.000	  82.000	  84.000	  47.833	  84.000	  40.833	AttR2	R	4	51	2	2696
8786	1	26	76.000	  48.158	  75.000	  42.493	  77.000	  41.351	Fill2	R	3	50	1	1831
8786	1	27	82.000	  47.561	  60.000	  65.000	  44.318	  88.000	ComD2	R	3	49	2	2000
8786	1	28	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	R	2	49	1	2035
8786	1	29	96.000	  39.875	  81.000	  47.259	  58.000	  66.000	ComD1	R	5	50	3	2875
8786	1	30	49.000	  79.000	  81.000	  47.790	  81.000	  39.790	AttR2	R	3	50	1	1739
8786	1	31	75.000	  46.400	  74.000	  40.986	  76.000	  40.487	Fill2	R	3	50	1	2184
8786	1	32	51.240	  75.000	  63.000	  61.000	  47.240	  81.351	SimA1	R	4	51	2	1811
8786	1	33	40.667	  90.000	  37.667	  83.841	  42.667	  73.852	Fill5	R	6	51	1	2942
8786	1	34	92.000	  39.120	  91.000	  34.429	  94.000	  33.362	Fill1	R	2	49	1	1067
8786	1	35	49.000	  79.000	  81.000	  47.790	  42.000	  79.000	AttR1	R	4	50	1	2163
8786	1	36	47.685	  73.000	  59.000	  59.000	  62.161	  56.000	SimA2	R	4	49	3	1712
8786	1	37	48.886	  70.000	  47.886	  62.628	  49.886	  60.037	Fill4	R	5	51	1	1621
8786	1	38	82.000	  45.183	  57.000	  65.000	  43.081	  86.000	ComD2	R	3	50	1	2344
8786	1	39	39.989	  90.000	  38.989	  78.304	  41.989	  73.734	Fill5	R	2	49	1	2301
8786	1	40	75.000	  45.627	  73.000	  41.288	  77.000	  38.325	Fill2	R	6	51	1	3187
8786	1	41	79.000	  46.177	  57.000	  64.000	  43.429	  84.000	ComD2	R	3	49	2	1413
8786	1	42	60.000	  58.000	  58.000	  52.103	  63.000	  47.810	Fill3	R	1	49	1	5128
8786	1	43	85.000	  46.400	  58.000	  68.000	  46.400	  85.000	ComD2	R	6	51	1	5693
8786	1	44	48.800	  75.000	  61.000	  60.000	  45.800	  79.913	SimA1	R	6	50	2	4309
8786	1	45	38.886	  88.000	  35.886	  81.312	  40.886	  70.610	Fill5	R	5	50	3	2275
8786	1	46	41.101	  89.000	  39.101	  80.126	  42.101	  73.917	Fill5	R	1	49	1	2162
8786	1	47	47.671	  73.000	  60.000	  58.000	  43.671	  79.686	SimA1	R	3	49	2	2848
8786	1	48	50.690	  71.000	  49.690	  62.970	  52.690	  58.835	Fill4	R	3	50	1	2879
8786	1	49	97.000	  38.268	  80.000	  46.400	  58.000	  64.000	ComD1	R	2	51	2	2169
8786	1	50	80.000	  46.400	  58.000	  64.000	  43.671	  85.000	ComD2	R	2	49	1	2075
8786	1	51	49.000	  82.000	  84.000	  47.833	  40.000	  82.000	AttR1	R	3	49	2	3003
8786	1	52	59.000	  61.000	  56.000	  57.018	  61.000	  51.197	Fill3	R	1	49	1	2150
8786	1	53	50.000	  80.000	  80.000	  50.000	  80.000	  42.000	AttR2	R	6	51	1	3947
8786	1	54	75.000	  47.987	  72.000	  44.319	  77.000	  41.208	Fill2	R	4	50	1	1775
8786	1	55	101.000	  39.050	  85.000	  46.400	  58.000	  68.000	ComD1	R	5	50	3	5403
8786	1	56	59.000	  58.000	  56.000	  52.964	  60.000	  50.367	Fill3	R	6	51	1	4164
8786	1	57	82.000	  45.976	  58.000	  65.000	  43.837	  86.000	ComD2	R	2	50	3	3400
8786	1	58	50.000	  80.000	  78.000	  51.282	  43.000	  80.000	AttR1	R	4	51	2	4675
8786	1	59	47.685	  73.000	  59.000	  59.000	  43.685	  79.684	SimA1	R	5	49	2	931
8786	1	60	49.714	  70.000	  47.714	  63.419	  50.714	  60.042	Fill4	R	6	51	1	1184
8786	1	61	98.000	  39.796	  82.000	  47.561	  60.000	  65.000	ComD1	R	5	51	1	2188
8786	1	62	61.000	  60.000	  59.000	  54.915	  62.000	  52.242	Fill3	R	2	49	1	2077
8786	1	63	78.000	  46.897	  76.000	  42.000	  80.000	  39.587	Fill2	R	2	49	1	1078
8786	1	64	49.986	  72.000	  48.986	  65.141	  51.986	  61.497	Fill4	R	4	50	1	1557
8786	1	65	81.000	  47.259	  58.000	  66.000	  44.512	  86.000	ComD2	R	2	50	3	2027
8786	1	66	47.355	  76.000	  59.000	  61.000	  42.355	  84.972	SimA1	R	2	51	2	4293
8786	1	67	92.000	  37.826	  91.000	  33.055	  93.000	  32.376	Fill1	R	3	50	1	2597
8786	1	68	73.000	  49.301	  70.000	  45.086	  76.000	  41.697	Fill2	R	5	51	1	1393
8786	1	69	95.000	  39.684	  80.000	  47.125	  58.000	  65.000	ComD1	R	2	51	2	2548
8786	1	70	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	2	50	3	2960
8786	1	71	47.355	  76.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	51	2	4805
8786	1	72	81.000	  46.543	  58.000	  65.000	  43.837	  86.000	ComD2	R	1	49	1	1376
8786	1	73	53.014	  69.000	  50.014	  65.041	  54.014	  58.632	Fill4	R	5	51	1	1779
8786	1	74	45.627	  75.000	  58.000	  59.000	  42.627	  80.278	SimA1	R	4	49	3	2861
8786	1	75	52.000	  76.000	  74.000	  53.405	  74.000	  44.405	AttR2	R	2	49	1	1453
8786	1	76	92.000	  39.783	  89.000	  36.315	  93.000	  34.753	Fill1	R	5	51	1	3133
8786	1	77	46.579	  76.000	  59.000	  60.000	  43.579	  81.232	SimA1	R	1	51	3	5491
8786	1	78	53.000	  80.000	  81.000	  52.346	  81.000	  43.346	AttR2	R	3	49	2	1435
8786	1	79	48.325	  77.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	4	51	2	5707
8786	1	80	46.000	  80.000	  81.000	  45.432	  39.000	  80.000	AttR1	R	4	51	2	3385
8786	1	81	48.325	  77.000	  61.000	  61.000	  45.325	  82.097	SimA1	R	1	50	2	1836
8786	1	82	47.838	  74.000	  59.000	  60.000	  43.838	  80.752	SimA1	R	5	51	1	2675
8786	1	83	59.000	  61.000	  57.000	  55.509	  60.000	  52.300	Fill3	R	3	50	1	1747
8786	1	84	46.000	  80.000	  81.000	  45.432	  81.000	  38.432	AttR2	R	4	50	1	3912
8786	1	85	98.000	  37.806	  82.000	  45.183	  57.000	  65.000	ComD1	R	5	50	3	1741
8786	1	86	49.000	  80.000	  81.000	  48.395	  42.000	  80.000	AttR1	R	1	50	2	4059
8786	1	87	52.000	  76.000	  74.000	  53.405	  44.000	  76.000	AttR1	R	4	50	1	6891
8786	1	88	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	4	51	2	4522
8786	1	89	51.240	  75.000	  63.000	  61.000	  66.259	  58.000	SimA2	R	3	51	3	2735
8786	1	90	80.000	  47.125	  58.000	  65.000	  44.353	  85.000	ComD2	R	6	50	2	3005
8786	2	1	37.753	  89.000	  36.753	  77.028	  39.753	  71.919	Fill5	R	5	51	1	6597
8786	2	2	49.028	  71.000	  48.028	  62.172	  50.028	  59.606	Fill4	R	3	50	1	5752
8786	2	3	48.000	  78.000	  77.000	  48.623	  77.000	  39.623	AttR2	R	6	50	2	3093
8786	2	4	61.000	  61.000	  59.000	  55.237	  63.000	  52.476	Fill3	R	2	50	3	2204
8786	2	5	94.000	  40.234	  91.000	  37.154	  95.000	  35.232	Fill1	R	4	50	1	3136
8786	2	6	47.811	  74.000	  61.000	  58.000	  64.327	  55.000	SimA2	R	3	51	3	3093
8786	2	7	95.000	  39.684	  81.000	  46.543	  58.000	  65.000	ComD1	R	2	49	1	1982
8786	2	8	81.000	  48.074	  59.000	  66.000	  44.759	  87.000	ComD2	R	4	51	2	3680
8786	2	9	52.000	  79.000	  79.000	  52.000	  45.000	  79.000	AttR1	R	5	51	1	5416
8786	2	10	90.000	  38.678	  87.000	  34.460	  91.000	  33.615	Fill1	R	3	50	1	3556
8786	2	11	52.000	  78.000	  80.000	  50.700	  45.000	  78.000	AttR1	R	6	51	1	2415
8786	2	12	90.000	  37.367	  88.000	  33.170	  92.000	  31.293	Fill1	R	2	49	1	1147
8786	2	13	53.000	  81.000	  82.000	  52.354	  46.000	  81.000	AttR1	R	5	51	1	2568
8786	2	14	51.000	  80.000	  79.000	  51.646	  44.000	  80.000	AttR1	R	2	51	2	3778
8786	2	15	47.838	  74.000	  60.000	  59.000	  43.838	  80.752	SimA1	R	5	49	2	2333
8786	2	16	49.000	  79.000	  77.000	  50.273	  77.000	  42.273	AttR2	R	4	50	1	2611
8786	2	17	82.000	  45.878	  57.000	  66.000	  44.786	  84.000	ComD2	R	5	51	1	5917
8786	2	18	39.775	  89.000	  38.775	  77.188	  40.775	  74.310	Fill5	R	1	49	1	3002
8786	2	19	46.667	  72.000	  43.667	  67.328	  48.667	  59.630	Fill4	R	1	49	1	1109
8786	2	20	48.132	  76.000	  59.000	  62.000	  45.132	  81.052	SimA1	R	5	51	1	1771
8786	2	21	52.528	  72.000	  51.528	  64.354	  54.528	  61.272	Fill4	R	3	50	1	1437
8786	2	22	50.973	  73.000	  47.973	  67.351	  51.973	  62.822	Fill4	R	2	49	1	1741
8786	2	23	76.000	  49.763	  73.000	  45.479	  77.000	  43.532	Fill2	R	3	50	1	1243
8786	2	24	79.000	  46.177	  57.000	  64.000	  42.419	  86.000	ComD2	R	6	50	2	4714
8786	2	25	81.000	  46.543	  58.000	  65.000	  43.333	  87.000	ComD2	R	3	51	3	4448
8786	2	26	100.000	  38.860	  84.000	  46.262	  58.000	  67.000	ComD1	R	1	51	3	2089
8786	2	27	96.000	  39.333	  80.000	  47.200	  59.000	  64.000	ComD1	R	5	50	3	905
8786	2	28	49.859	  71.000	  48.859	  64.000	  50.859	  61.739	Fill4	R	1	49	1	1813
8786	2	29	57.000	  59.000	  54.000	  54.037	  59.000	  48.593	Fill3	R	4	50	1	1313
8786	2	30	50.000	  79.000	  81.000	  48.765	  81.000	  41.765	AttR2	R	5	51	1	2598
8786	2	31	48.739	  69.000	  46.739	  62.432	  50.739	  57.037	Fill4	R	4	50	1	1751
8786	2	32	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	49	1	4949
8786	2	33	47.000	  81.000	  81.000	  47.000	  81.000	  40.000	AttR2	R	4	50	1	3731
8786	2	34	73.000	  48.493	  70.000	  44.571	  76.000	  40.066	Fill2	R	1	49	1	3296
8786	2	35	47.200	  75.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	49	2	2216
8786	2	36	47.532	  77.000	  60.000	  61.000	  42.532	  86.052	SimA1	R	5	50	3	6875
8786	2	37	49.000	  78.000	  77.000	  49.636	  77.000	  40.636	AttR2	R	2	49	1	1291
8786	2	38	47.811	  74.000	  61.000	  58.000	  42.811	  82.643	SimA1	R	3	51	3	3474
8786	2	39	48.325	  77.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	49	3	2171
8786	2	40	92.000	  40.446	  89.000	  37.169	  95.000	  34.842	Fill1	R	2	49	1	1397
8786	2	41	96.000	  39.188	  82.000	  45.878	  57.000	  66.000	ComD1	R	1	50	2	1872
8786	2	42	47.200	  75.000	  59.000	  60.000	  42.200	  83.886	SimA1	R	1	50	2	1568
8786	2	43	71.000	  47.324	  68.000	  43.132	  73.000	  40.164	Fill2	R	2	49	1	3435
8786	2	44	96.000	  39.948	  81.000	  47.346	  59.000	  65.000	ComD1	R	3	49	2	3043
8786	2	45	81.000	  46.543	  58.000	  65.000	  43.837	  86.000	ComD2	R	3	49	2	6147
8786	2	46	77.000	  48.325	  75.000	  44.267	  79.000	  41.278	Fill2	R	6	51	1	3176
8786	2	47	40.890	  91.000	  39.890	  80.747	  42.890	  74.563	Fill5	R	2	50	3	3515
8786	2	48	41.109	  92.000	  40.109	  80.606	  43.109	  75.112	Fill5	R	5	51	1	2008
8786	2	49	48.000	  78.000	  77.000	  48.623	  40.000	  78.000	AttR1	R	2	49	1	1874
8786	2	50	47.838	  74.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	2	50	3	3906
8786	2	51	98.000	  39.735	  81.000	  48.074	  59.000	  66.000	ComD1	R	5	49	2	2400
8786	2	52	52.000	  79.000	  79.000	  52.000	  79.000	  44.000	AttR2	R	3	49	2	2619
8786	2	53	49.282	  78.000	  62.000	  62.000	  65.153	  59.000	SimA2	R	2	49	1	3549
8786	2	54	52.000	  78.000	  80.000	  50.700	  80.000	  42.700	AttR2	R	2	49	1	2259
8786	2	55	80.000	  47.200	  59.000	  64.000	  43.402	  87.000	ComD2	R	5	50	3	6586
8786	2	56	81.000	  47.407	  60.000	  64.000	  43.146	  89.000	ComD2	R	1	49	1	3765
8786	2	57	49.459	  74.000	  61.000	  60.000	  46.459	  78.778	SimA1	R	6	51	1	4632
8786	2	58	47.368	  76.000	  60.000	  60.000	  42.368	  84.969	SimA1	R	5	49	2	1056
8786	2	59	49.282	  78.000	  62.000	  62.000	  45.282	  84.890	SimA1	R	3	49	2	4704
8786	2	60	95.000	  39.684	  80.000	  47.125	  58.000	  65.000	ComD1	R	2	51	2	3709
8786	2	61	48.132	  76.000	  59.000	  62.000	  63.069	  58.000	SimA2	R	4	50	1	4940
8786	2	62	51.000	  80.000	  79.000	  51.646	  79.000	  42.646	AttR2	R	5	49	2	1792
8786	2	63	62.000	  61.000	  61.000	  54.705	  65.000	  51.523	Fill3	R	4	50	1	3715
8786	2	64	49.000	  79.000	  77.000	  50.273	  40.000	  79.000	AttR1	R	3	49	2	3832
8786	2	65	50.000	  79.000	  81.000	  48.765	  41.000	  79.000	AttR1	R	4	50	1	2560
8786	2	66	80.000	  47.125	  58.000	  65.000	  43.837	  86.000	ComD2	R	3	49	2	2956
8786	2	67	75.000	  46.413	  73.000	  42.192	  76.000	  40.118	Fill2	R	4	50	1	1132
8786	2	68	59.000	  59.000	  58.000	  52.103	  61.000	  50.098	Fill3	R	2	49	1	1817
8786	2	69	47.000	  81.000	  81.000	  47.000	  38.000	  81.000	AttR1	R	6	51	1	2003
8786	2	70	71.000	  47.366	  70.000	  41.714	  72.000	  40.444	Fill2	R	5	51	1	4814
8786	2	71	84.000	  46.262	  58.000	  67.000	  45.718	  85.000	ComD2	R	5	50	3	5792
8786	2	72	96.000	  39.271	  81.000	  46.543	  58.000	  65.000	ComD1	R	5	50	3	4507
8786	2	73	59.000	  60.000	  57.000	  53.509	  60.000	  51.667	Fill3	R	5	51	1	2911
8786	2	74	49.000	  78.000	  77.000	  49.636	  77.000	  41.636	AttR2	R	3	50	1	1565
8786	2	75	49.459	  74.000	  61.000	  60.000	  64.211	  57.000	SimA2	R	5	51	1	2192
8786	2	76	49.000	  78.000	  77.000	  49.636	  42.000	  78.000	AttR1	R	5	51	1	2907
8786	2	77	95.000	  40.421	  81.000	  47.407	  60.000	  64.000	ComD1	R	4	51	2	4017
8786	2	78	47.368	  76.000	  60.000	  60.000	  42.368	  84.969	SimA1	R	4	50	1	3091
8786	2	79	89.000	  37.753	  87.000	  33.448	  92.000	  31.891	Fill1	R	6	51	1	5858
8786	2	80	91.000	  38.901	  89.000	  34.742	  92.000	  33.957	Fill1	R	5	50	3	4051
8786	2	81	38.216	  88.000	  36.216	  77.728	  40.216	  70.569	Fill5	R	5	49	2	8515
8786	2	82	39.112	  89.000	  37.112	  79.623	  40.112	  73.693	Fill5	R	5	51	1	2304
8786	2	83	49.000	  78.000	  77.000	  49.636	  41.000	  78.000	AttR1	R	5	49	2	2157
8786	2	84	81.000	  47.346	  59.000	  65.000	  43.580	  88.000	ComD2	R	1	50	2	3907
8786	2	85	47.368	  76.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	1	50	2	2847
8786	2	86	56.000	  60.000	  53.000	  54.340	  59.000	  49.763	Fill3	R	2	49	1	1495
8786	2	87	94.000	  38.809	  79.000	  46.177	  57.000	  64.000	ComD1	R	2	51	2	7096
8786	2	88	48.325	  77.000	  61.000	  61.000	  43.325	  85.886	SimA1	R	2	49	1	3280
8786	2	89	53.000	  81.000	  82.000	  52.354	  82.000	  44.354	AttR2	R	1	49	1	1312
8786	2	90	47.532	  77.000	  60.000	  61.000	  63.103	  58.000	SimA2	R	5	50	3	3606
8786	3	1	81.000	  47.259	  58.000	  66.000	  45.035	  85.000	ComD2	R	4	51	2	5149
8786	3	2	41.568	  88.000	  39.568	  79.660	  43.568	  72.438	Fill5	R	4	50	1	1491
8786	3	3	47.838	  74.000	  60.000	  59.000	  43.838	  80.752	SimA1	R	2	51	2	4003
8786	3	4	97.000	  39.464	  83.000	  46.120	  58.000	  66.000	ComD1	R	6	50	2	2333
8786	3	5	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	R	2	51	2	1659
8786	3	6	94.000	  38.809	  79.000	  46.177	  57.000	  64.000	ComD1	R	4	51	2	2819
8786	3	7	98.000	  38.469	  82.000	  45.976	  58.000	  65.000	ComD1	R	5	49	2	3590
8786	3	8	48.649	  74.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	5	49	2	3560
8786	3	9	95.000	  38.463	  80.000	  45.675	  58.000	  63.000	ComD1	R	2	50	3	2180
8786	3	10	96.000	  38.667	  80.000	  46.400	  58.000	  64.000	ComD1	R	4	49	3	6087
8786	3	11	52.116	  69.000	  50.116	  62.834	  54.116	  58.874	Fill4	R	2	49	1	2576
8786	3	12	82.000	  48.207	  59.000	  67.000	  45.965	  86.000	ComD2	R	2	50	3	2387
8786	3	13	46.579	  76.000	  59.000	  60.000	  43.579	  81.232	SimA1	R	4	50	1	4821
8786	3	14	51.000	  79.000	  81.000	  49.741	  43.000	  79.000	AttR1	R	1	49	1	4224
8786	3	15	59.000	  59.000	  57.000	  52.632	  62.000	  48.435	Fill3	R	2	49	1	2907
8786	3	16	59.000	  62.000	  56.000	  57.482	  61.000	  52.164	Fill3	R	5	51	1	1944
8786	3	17	49.471	  68.000	  46.471	  63.309	  50.471	  57.836	Fill4	R	1	49	1	2749
8786	3	18	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	51	2	5491
8786	3	19	50.449	  69.000	  48.449	  61.570	  51.449	  59.748	Fill4	R	6	51	1	1371
8786	3	20	62.000	  59.000	  59.000	  55.136	  63.000	  51.111	Fill3	R	2	49	1	4317
8786	3	21	49.000	  80.000	  82.000	  47.805	  82.000	  38.805	AttR2	R	5	51	1	2466
8786	3	22	50.000	  77.000	  79.000	  48.734	  79.000	  40.734	AttR2	R	2	51	2	2004
8786	3	23	49.000	  80.000	  82.000	  47.805	  42.000	  80.000	AttR1	R	3	50	1	3094
8786	3	24	50.000	  78.000	  77.000	  50.649	  41.000	  78.000	AttR1	R	3	50	1	1965
8786	3	25	49.613	  75.000	  61.000	  61.000	  45.613	  81.577	SimA1	R	5	51	1	4208
8786	3	26	48.635	  74.000	  61.000	  59.000	  43.635	  82.479	SimA1	R	2	49	1	4658
8786	3	27	52.257	  70.000	  49.257	  64.965	  54.257	  59.826	Fill4	R	2	49	1	3131
8786	3	28	48.800	  75.000	  61.000	  60.000	  44.800	  81.696	SimA1	R	4	50	1	2120
8786	3	29	80.000	  45.600	  57.000	  64.000	  42.419	  86.000	ComD2	R	2	51	2	7317
8786	3	30	46.579	  76.000	  59.000	  60.000	  62.105	  57.000	SimA2	R	3	51	3	2955
8786	3	31	50.449	  69.000	  48.449	  61.652	  51.449	  57.979	Fill4	R	5	51	1	5775
